i	j	affiliation
FAURE ALEXANDRE	2015_ST33	EHESS CRH
FAURE ALEXANDRE	2017_ST23	CRH, EHESS PARIS
FAURE ANTOINE	2011_ST1	PACTE, IEP GRENOBLE
FAURE ANTOINE	2011_ST7	PACTE, IEP GRENOBLE
FAURE ANTOINE	2013_ST58	PACTE, IEP GRENOBLE
FAURE ANTOINE	2015_ST47	PACTE, IEP GRENOBLE
FAURE ANTOINE	2017_ST56	CIDOC UNIVERSIDAD FINIS TERRAE
FAURE SAMUEL	2015_ST15	CERI, SCIENCES PO PARIS
FAURE SAMUEL	2015_ST57	SAMUEL BH FAURE CERI, SCIENCES PO PARIS
FAUVE ADRIEN	2011_ST50	CERI, SCIENCES PO PARIS
FAUVE ADRIEN	2017_ST69	CERI, SCIENCES PO PARIS
FAUVELLE CHRISTINE	2009_ST13	U. TOURS
FAUVELLE CHRISTINE	2009_ST4	U. TOURS
FAUVELLE CHRISTINE	2009_ST5	U. TOURS
FAUVELLE CHRISTINE	2015_ST1	U. TOURS
FAVAREL GILLES	2015_ST53	CERI, SCIENCES PO PARIS
FAVAREL GILLES	2017_ST26	CERI, SCIENCES PO PARIS
FAVAREL GILLES	2017_ST64	CERI, SCIENCES PO PARIS
FAYAT HERVE	2013_ST39	GROUPE DANALYSE POLITIQUE DE NANTERRE, U. PARIS 10
FAZI ANDRE	2015_ST22	LISA CNRS/U. CORSE
FEDEREAU ALEXANDER	2017_ST76	IGD/FGSE, U. LAUSANNE (SUISSE)
FEE RUTH	2015_STRC20IPSA	U. ULSTER
FELICETTI ANDREA	2015_ST24	U. CATHOLIQUE LOUVAIN (BELGIQUE)
FELICETTI ANDREA	2015_STGREPO	U. CATHOLIQUE LOUVAIN (BELGIQUE)
FELLI ROMAIN	2009_ST40	IEPI, U. LAUSANNE (SUISSE)
FEREY AMELIE	2017_ST56	CERI, SCIENCES PO PARIS
FERHAT ISMAIL	2009_ST29	FERHAT ISMAIL CHSP SCIENCES PO PARIS
FERHAT ISMAIL	2011_ST29	SCIENCES PO PARIS
FERHAT ISMAIL	2013_ST30	CHSP/SCIENCES PO PARIS
FERHAT ISMAIL	2015_ST13	ESPE DAMIENS CAREF
FERNANDEZ JULIAN	2013_ST47	U. PARIS 1 / CRPS
FERNANDEZ PASARIN ANA MAR	2009_ST19	U. AUTONOMA BARCELONA (ESPAGNE) / CEE, SCIENCES PO PARIS
FERRALI ROMAIN	2015_STRC20IPSA	PRINCETON U. (USA)
FERRAN NICOLAS	2013_ST10	CEPEL, U. MONTPELLIER 1
FERRAN NICOLAS	2015_ST4	CEPEL, U. MONTPELLIER 1
FERRAND ALEXIS	2015_ST2	CLERSE, U. LILLE 1
FERRAND SABINE	2015_ST39	NAGEL RITM RESEAUX INNOVATION, TERRITOIRES ET MONDIALISATION
FERRANDO STEFANIA	2017_ST27	IEP STRASBOURG
FERRE NATHALIE	2017_ST65	CHERPA, IEP AIX EN PROVENCE / ECOLE GOUVERNANCE ECONOMIE RABAT (MAROC)
FERREIRA ANTUNES SANDRINA	2009_ST39	U. LIBRE BRUXELLES / U. DU MINHO
FERRIE JEAN NOEL	2015_ST37	U. INTERNATIONALE RABAT (MAROC)
FERRIEUX CECILE	2013_ST17	TRIANGLE, U. LYON 2
FERRON BENJAMIN	2017_ST49	DEPARTEMENT DE COMMUNICATION POLITIQUE ET PUBLIQUE, U. PARIS EST CRETEIL, CEDITEC
FERRY JEAN MARC	2015_ST29	CHAIRE DE PHILOSOPHIE DE LEUROPE, U. NANTES
FERTIKH KARIM	2009_ST7	IEP STRASBOURG ; GSPE-PRISME/ CMH ETT/ENS
FERTIKH KARIM	2015_ST23	EHESS, CENTRE GEORG SIMMEL
FERTIKH KARIM	2017_ST3	IEP STRASBOURG, SAGE, CENTRE GEORG SIMMEL
FILLIEULE OLIVIER	2009_ST16	NA
FILLIEULE OLIVIER	2009_ST8	U. LAUSANNE (SUISSE)
FILLIEULE OLIVIER	2013_ST11	CRAPUL-IEPI, U. LAUSANNE (SUISSE)
FILLIEULE OLIVIER	2013_ST53	CRAPUL-IEPI, U. LAUSANNE (SUISSE)
FILLIEULE OLIVIER	2015_ST11	CRAPUL-IEPI, U. LAUSANNE (SUISSE) / CESSP, U. PARIS 1
FILLION EMMANUELLE	2017_ST64	CRAPE, EHESP
FILLOD AURELIE	2011_ST52	CHABAUD INSTITUT UNIVERSITAIRE EUROPEEN
FILLOD AURELIE	2015_ST16	CHABAUD IREDU, U. BOURGOGNE, DIJON
FILLOD AURELIE	2017_ST28	CHABAUD IREDU, U. BOURGOGNE
FILLOD AURELIE	2017_ST29	CHABAUD IREDU, U. BOURGOGNE
FINTZ MATTHIEU	2011_ST23	AGENCE NATIONALE DE SECURITE SANITAIRE ALIMENTATION, ENVIRONNEMENT, TRAVAIL ET IRIST INSTITUT DE RECHERCHES INTERDISCIPLINAIRES SUR LES SCIENCES ET LA TECHNOLOGIE
FIROT BERNARD	2017_ST4	NA
FISCHER NICOLAS	2011_ST9	EHESS, IRIS
FISCHER NICOLAS	2015_ST12	CESDIP
FISCHER NICOLAS	2015_ST8	CESDIP)
FISCHER NICOLAS	2017_ST13	CNRS/CESDIP
FISCHER NICOLAS	2017_ST22	CESDIP
FISHKIN JAMES	2015_ST24	JAMES S FISHKIN STANFORD UNIVERSITY ETATS UNIS
FISHKIN JAMES	2015_STPOPACT	JAMES S FISHKIN STANFORD UNIVERSITY
FISK REBECCA	2015_STRC20IPSA	BARD COLLEGE, SIMONS ROCK
FISKE ROBERTA	2015_STRC20IPSA	RUSCIANO RIDER UNIVERSITY
FISKE RUSCIANO ROBIN	2013_ST41	NA
FLACCO FERNANDA	2015_ST45	CEVIPOL, U. LIBRE BRUXELLES (BELGIQUE)
FLAMANT ANOUK	2011_ST26	U. LYON 2, LABORATOIRE TRIANGLE
FLAMANT ANOUK	2015_ST22	TRIANGLE CNRS/ENS/U. LYON 2
FLEURY LAURE	2015_ST13	CRAPUL-IEPI, U. LAUSANNE (SUISSE) / ENS LYON
FLORIDIA ANTONIO	2015_ST24	DIPARTIMENTO POLITICHE PER LA PARTECIPAZIONE REGIONE TOSCANA ITALIE
FLUSIN DEBORAH	2011_ST27	FLEURY U. REIMS, CERLIS
FLYNN MOLLY	2015_STRC20IPSA	MOLLY B FLYNN ASSUMPTION COLLEGE
FOL SYLVIE	2017_ST9	GEOGRAPHIE CITES U. PARIS 1
FONTAINE GUILLAUME	2009_ST25	FLACSO EQUATEUR
FONTAINE JULIETTE	2013_ST30	U. PARIS 1 CESSP
FONTAINE JULIETTE	2015_ST32	U. PARIS 1 CESSP-CRPS
FONTAINE JULIETTE	2015_ST8	CESSP
FONTAN CLEMENT	2011_ST46	IEP GRENOBLE PACTE
FONTAN CLEMENT	2013_ST16	CERAPS, U. LILLE 2
FONTAN CLEMENT	2015_ST15	CENTRE DE RECHERCHE EN ETHIQUE, U. MONTREAL (CANADA)
FONTAN CLEMENT	2017_ST5	PACTE, IEP GRENOBLE
FONTANA MARIE CHRISTINE	2009_ST20	U. LAUSANNE (SUISSE)
FOREST MAXIME	2011_ST22	U. COMPLUTENSE DE MADRID
FOREST MAXIME	2013_ST65	SCIENCES PO, OFCE PRESAGE
FOREST MAXIME	2015_ST42	SCIENCES PO PARIS
FORET FRANCOIS	2009_ST1	U. LIBRE BRUXELLES (BELGIQUE)
FORET FRANCOIS	2011_ST44	U. LIBRE BRUXELLES (BELGIQUE)
FORET FRANCOIS	2011_ST46	U. LIBRE BRUXELLES (BELGIQUE)
FORTANE NICOLAS	2009_ST10	U. LYON 2
FORTANE NICOLAS	2013_ST17	INRA UNITE RITME / RISQUES, TRAVAIL, MARCHES, ETAT
FORTIER AGNES	2015_ST18	INRA/SAE2/SADAPT
FOUCAULT MARTIAL	2009_ST21	U. MONTREAL (CANADA)
FOUCAULT MARTIAL	2009_ST4	U. MONTREAL (CANADA)
FOUCAULT MARTIAL	2013_ST26	U. MONTREAL (CANADA), DEPARTEMENT DE SCIENCE POLITIQUE ET SCIENCES PO PARIS
FOUGERE MARIANNE	2013_ST63	CEVIPOF, SCIENCES PO PARIS
FOUILLEUX EVE	2009_ST28	NA
FOUILLEUX EVE	2009_ST41	CNRS CEPEL & CIRAD
FOUILLEUX EVE	2011_ST17	CNRS/CEPEL
FOUILLEUX EVE	2015_ST33	CEPEL CNRS, CIRAD MOISA
FOUILLEUX EVE	2017_ST14	CEPEL CIRAD
FOUILLEUX EVE	2017_ST16	CIRAD, UMR MOISA
FOULOT MATHIEU	2017_ST52	PROGRAMME DEDUCATION CRITIQUE AUX MEDIAS, RECTORAT DE VERSAILLES
FOUNIS YANN	2017_ST16	NA
FOUQUET THOMAS	2015_ST48	IMAF
FOURCHARD LAURENT	2009_ST9	CEAN, FNSP
FOURCHARD LAURENT	2015_ST53	FNSP/LAM, IEP BORDEAUX
FOURES FRANCK	2011_ST23	INRA RITME/CSO SCIENCES PO PARIS
FOURN LEO	2017_ST62	AIX MARSEILLE UNIV, CNRS, LAMES, LABEXMED
FOURNIER LYDIE	2009_ST36	CNRS PRISME
FOURNIER PIERRE	2011_ST12	ET CESARE MATTINA U. AIX MARSEILLE, LABORATOIRE MEDITERRANEEN DE SOCIOLOGIE
FOURNIS YANN	2017_ST17	GRIDEQ
FOURNIS YANN	2017_ST5	U. DU QUEBEC A RIMOUSKI
FOUROT AUDE CLAIRE	2009_ST121	FOUROT AUDE CLAIRE CEE, SCIENCES PO PARIS
FOUROT AUDE CLAIRE	2011_ST19	NA
FOUROT AUDE CLAIRE	2013_ST14	NA
FOYER JEAN	2015_ST56	ISCC/CNRS
FRADOIS GAUTHIER	2015_ST16	ISP
FRADOIS GAUTHIER	2017_ST26	ISP, U. PARIS X
FRADOIS GAUTHIER	2017_ST53	U. PARIS 10, ISSP
FRAGNON JULIEN	2009_ST31	U. LYON, TRIANGLE
FRAGNON JULIEN	2015_ST20	IEP LYON, TRIANGLE
FRAGNON JULIEN	2017_ST54	TRIANGLE, IEP LYON
FRANCE PIERRE	2017_ST52	U. PARIS 1 CRPS/CESSP
FRANCE PIERRE	2017_ST71	CESSP PARIS 1 SORBONNE
FRANCOIS ABEL	2009_ST4	U. STRASBOURG
FRANCOIS ABEL	2013_ST41	NA
FRANCOIS ABEL	2015_ST1	U. STRASBOURG
FRANCOIS ABEL	2015_ST9	U. STRASBOURG LARGE
FRANCOIS ABEL	2015_STPOPACT	U. STRASBOURG UNISTRA
FRANCOIS ABEL	2017_ST24	FRANCOIS ABEL U. LILLE 1
FRANCOIS ABEL	2017_ST34	U. LILLE 1, LEM
FRANCOIS BASTIEN	2009_ST48	U. PARIS 1
FRANCOIS BASTIEN	2011_ST41	NA
FRANCOIS PIERRE	2009_ST14	SCIENCES PO, CNRS, CSO ET, PROFESSEUR AFFILIE A LESC ROUEN
FRANCOIS PIERRE	2011_ST26	CSO, CNRS
FRANCOU LIONEL	2017_ST54	CRIDIS, U. CATHOLIQUE LOUVAIN (BELGIQUE)
FRANZ BARBARA	2013_ST41	NA
FRANZ BARBARA	2015_STRC20IPSA	RIDER UNIVERSITY
FRAU CAROLINE	2009_ST33	ALER, U. PARIS 1, CENTRE DE RECHERCHES POLITIQUES DE LA SORBONNE
FRAU CAROLINE	2011_ST16	CESSP-CRPS, PARIS 1
FRAU CAROLINE	2013_ST38	LASSP, IEP TOULOUSE
FRAU CAROLINE	2013_ST66	IEP TOULOUSE
FRAU CAROLINE	2017_ST12	LYON 2/TRIANGLE
FREEDMAN JANE	2017_ST28	U. PARIS 8 CRESPPA
FREGOSI FRANK	2017_ST58	IEP AIX EN PROVENCE CHERPA / CNRS
FRENKIEL EMILIE	2015_STGREPO	U. PARIS 12
FRETEL JULIEN	2011_ST31	U. PICARDIE/CURAPP
FRETEL JULIEN	2013_ST24	U. PICARDIE, CURAPP
FRETEL JULIEN	2013_ST30	CURAPP, U. PICARDIE
FRETEL JULIEN	2015_ST10	CRPS, PARIS 1
FRETEL JULIEN	2015_STGREPO	U. PARIS 1
FRETIGNY RAPHAEL	2013_ST16	TRIANGLE, IEP LYON
FRETIGNY RAPHAEL	2013_ST19	IEP LYON TRIANGLE
FREYERMUTH AUDREY	2009_ST14	GSPE-PRISME, U. STRASBOURG CNRS
FREYERMUTH AUDREY	2013_ST36	U. STRASBOURG SAGE
FREYERMUTH AUDREY	2013_ST42	SAGE, U. STRASBOURG
FREYERMUTH AUDREY	2015_ST22	CHERPA EA 4261 CNRS, IEP AIX EN PROVENCE / SAGE
FREYSSENET MICHEL	2013_ST16	GERPISA, ENS CACHAN
FRIEDLI FIONA	2017_ST28	U. LAUSANNE CRAPUL
FRINAULT THOMAS	2009_ST122	U. RENNES 2
FRINAULT THOMAS	2015_ST41	U. RENNES 2/CRAPE/UMR 6051
FRINAULT THOMAS	2017_ST36	U. RENNES 2, CRAPE/ARENES
FRISKE REBECCA	2013_ST41	NA
FRISQUE CEGOLENE	2009_ST6	U. NANTES, CRAPE
FROIDEVAUX CAMILLE	2009_ST51	METTERIE U. PARIS 2 DROIT PUBLIC ET DE SCIENCE POLITIQUE
FROIDEVAUX CAMILLE	2009_ST52	METTERIE U. PARIS 2
FROIDEVAUX CAMILLE	2013_ST66	METTERIE U. REIMS CHAMPAGNE ARDENNE / IUF
FROIDEVAUX CAMILLE	2017_ST27	METTERIE U. REIMS CHAMPAGNE ARDENNE
FROIO CATARINA	2013_ST23	EUI FLORENCE (ITALIE)
FROIO CATERINA	2011_ST29	INSTITUT UNIVERSITAIRE EUROPEEN
FROTIEE BRIGITTE	2011_ST53	ISP, ENS CACHAN
FROTIEE BRIGITTE	2015_ST39	ISP CNRS/ENS CACHAN
FROZEL BARROS NATALIA	2017_ST72	U. PARIS 1, FRANCE
FROZEL BARROS NATALIA	2017_ST73	U. PARIS 1 / CESSP-CRPS
FUCHS NATHALIE	2011_ST43	LENGAGEMENT MILITANT DES DESCENDANTS DE MAGHREBINS DANS LES CITES DANS LES ANNEES 1990 3 HUBERT PERES ET CECILE PRAD FRANK, LES ETUDIANTS << DORIGINE IMMIGREE >> FACE AUX CONCOURS DACCES A LA FONCTION PUBLIQUE UNE ENQUETE DANS LES CENTRES DE PREPARATION AUX CONCOURS IPAG ET CPAG
FUCHS NATHALIE	2013_ST29	FUCHS NATHALIE MARIE CURIE INTERNATIONAL FELLOW BERKELEY UNIVERSITY/ CERI, SCIENCES PO PARIS
FULLA MATHIEU	2017_ST55	CENTRE DHISTOIRE DE SCIENCES PO CHSP
FUREIX EMMANUEL	2009_ST44	CRHEC, U. PARIS 12 PARIS EST
FUSTEC KLERVI	2013_ST20	ART DEV/U. MONTPELLIER 3
GABORIAUX CHLOE	2009_ST7	CEVIPOF, SCIENCES PO PARIS
GABORIAUX CHLOE	2009_ST9	CEVIPOF, SCIENCES PO PARIS
GABORIAUX CHLOE	2013_ST2	SCIENCES PO PARIS CENTRE DE RECHERCHES POLITIQUES DE SCIENCES PO PARIS
GABORIAUX CHLOE	2017_ST59	IEP LYON / TRIANGLE
GADEA CHARLES	2013_ST4	U. VERSAILLES SAINT QUENTIN, CENTRE DE RECHERCHES VERSAILLES INSTITUTIONS PUBLIQUES
GAIDET NICOLAS	2017_ST16	CIRAD AGIRS
GAISSAD LAURENT	2009_ST16	U. LIBRE BRUXELLES (BELGIQUE)
GAITI BRIGITTE	2009_ST29	GAITI BRIGITTE PARIS 1 CRPS
GAITI BRIGITTE	2009_ST38	CRPS, U. PARIS 1
GAITI BRIGITTE	2011_ST1	CESSP-CRPS, U. PARIS 1
GAITI BRIGITTE	2017_ST18	NA
GALIBERT ALIX	2013_ST10	CRAPE, U. RENNES 1
GALIMBERTI DEBORAH	2013_ST19	TRIANGLE, U. SAINT ETIENNE
GALLAOUI MOHAMED	2009_ST49	U. HASSAN II AIN CHOK, CASABLANCA (MAROC)
GALLO ALEXANDRA	2011_ST37	TELEMME, U. PROVENCE
GALLOIS FLORENCE	2017_ST25	REGARDS, U. REIMS
GALLOT FANNY	2015_ST14	CRHEC, U. PARIS EST CRETEIL
GALLY NATACHA	2009_ST45	CEVIPOF, SCIENCES PO PARIS
GALLY NATACHA	2017_ST35	CERSA, U. PARIS 2
GALY ARIANE	2017_ST61	LASSP, IEP TOULOUSE
GAMBERT SYLVAIN	2009_ST41	EUI FLORENCE (ITALIE)
GANTOIS MAILYS	2009_ST10	CRPS, U. PARIS 1
GANTOIS MAILYS	2011_ST39	CESSP-CRPS, U. PARIS 1
GANTOIS MAILYS	2013_ST57	CESSP-CRPS, U. PARIS 1
GANTOIS MAILYS	2015_ST28	CESSP, U. PARIS 1
GARBAGNOLI SARA	2011_ST53	EHESS PARIS
GARBAGNOLI SARA	2017_ST53	ILPGA, U. PARIS 3
GARCIA DOS SANTOS YUMI	2009_ST27	CNRS GENRE, TRAVAIL ET MOBILITES, PARIS
GARCIA GUILLAUME	2011_ST35	CDSP SCIENCES PO PARIS
GARCIA GUILLAUME	2015_ST7	SCIENCES PO, CDSP
GARCIA MARIE CARMEN	2013_ST5	U. LYON 2
GARCIA NURIA	2013_ST14	CEE, SCIENCES PO, PARIS
GARCIA NURIA	2017_ST31	CEE DE SCIENCES PO/CHAIRE DE POLITIQUE COMPAREE, UNIVERSITAT AUGSBURG
GARCIA SANDRINE	2015_ST31	IREDU U. BOURGOGNE
GARCIA SEGURA CATERINA	2017_ST69	UNIVERSITAT POMPEU FABRA
GARDENIER MATTHIJS	2013_ST53	IRSA/CRI U. MONTPELLIER 3
GARDON SEBASTIEN	2011_ST12	ET ERIC VERDIER LEST UMR CNRS 6123, AIX EN PROVENCE
GARDON SEBASTIEN	2011_ST40	LEST
GARDON SEBASTIEN	2015_ST19	ENSV, VETAGRO SUP
GARDON SEBASTIEN	2015_ST20	ENSV, VETAGRO SUP
GARIBAY DAVID	2011_ST38	TRIANGLE, U. LYON 2
GARIBAY DAVID	2013_ST53	TRIANGLE U. LYON 2
GARRAUD PHILIPPE	2009_ST21	CRAPE, IEP RENNES
GARRIDO ANTONIO	2013_ST28	U. MURCIA
GASNIER CAMILLE	2017_ST6	EHESS PARIS
GASPAR JEAN FRANCOIS	2011_ST20	HAUTE ECOLE LOUVAIN EN HAINAUT
GASPARD HELAINA	2013_ST14	U. OTTAWA (CANADA)
GASPARINI WILLIAM	2017_ST60	(CHAIRE JEAN MONNET EN SOCIOLOGIE EUROPEENNE DU SPORT, LABORATOIRE << SPORT ET SCIENCES SOCIALES >> (EA 1342)
GASSIER MARINE	2017_ST21	CERI, SCIENCES PO PARIS
GATTI LUIGI	2015_ST6	U. BORDEAUX IV, GRECCAP CMRP
GAUDIN JEAN PIERRE	2011_ST15	IEP AIX EN PROVENCE
GAULIER ARMELLE	2017_ST46	MARION PAOLETTI CED
GAUTHIER JEREMIE	2013_ST11	CMB BERLIN
GAUTHIER MARIO	2009_ST121	U. DU QUEBEC EN OUTAOUAIS
GAUTHIER MARIO	2009_ST122	U. DU QUEBEC EN OUTAOUAIS
GAUTHIER MARIO	2009_ST41	U. DU QUEBEC EN OUTAOUAIS
GAUTHIER MARIO	2017_ST36	U. DU QUEBEC EN OUTAOUAIS
GAVA ROY	2017_ST38	U. GENEVE (SUISSE)
GAY VINCENT	2015_ST14	LHEST IDHES, U. DEVRY VAL DESSONNE
GAYER LAURENT	2009_ST47	CSH NEW DELHI, CEIAS PARIS
GAYER LAURENT	2009_ST8	CENTRE UNIVERSITAIRE DE RECHERCHES SUR LACTION PUBLIQUE ET LE POLITIQUE CURAPP
GAYER LAURENT	2011_ST6	CURAPP CNRS
GAYER LAURENT	2013_ST33	CNRS/CURAPP AMIENS
GAYER LAURENT	2015_ST53	CNRS/CERI SCIENCES PO, PARIS
GAYER LAURENT	2017_ST71	CERI, SCIENCES PO PARIS
GAYON VINCENT	2009_ST33	U. PARIS 9
GAYON VINCENT	2011_ST45	IRISSO, U. DAUPHINE
GAYON VINCENT	2013_ST16	IRISSO CNRS, U. PARIS 9
GAYON VINCENT	2015_ST57	U. PARIS 9
GAYON VINCENT	2017_ST4	ET BENJAMIN LEMOINE IRISSO PARIS DAUPHINE
GAYON VINCENT	2017_ST75	IRISSO
GAYTE MARIE	2017_ST32	U. TOULON, LABORATOIRE BABEL
GEAY BERTRAND	2013_ST30	U. PICARDIE / CURAPP
GEAY BERTRAND	2017_ST46	CURAPP, U. PICARDIES
GEISSER VINCENT	2009_ST34	IREMAM / CNRS
GEISSER VINCENT	2009_ST49	ET MICHAEL AYARI CNRS IREMAM
GEISSER VINCENT	2017_ST54	IRENAM, CNRS/IEP AIX EN PROVENCE
GELLIBERT MISHELLE	2017_ST41	ZAYLIN BRITO UNIVERSIDAD CASA GRANDE, EQUATEUR
GEMENNE FRANCOIS	2013_ST62	IDDRI, SCIENCES PO PARIS
GENIEYS WILLIAM	2009_ST14	CEPEL, U. MONTPELLIER 1
GENIEYS WILLIAM	2013_ST1	CEPEL, MONTPELLIER 1
GENIEYS WILLIAM	2015_ST33	CEPEL CNRS
GENSBURGER SARAH	2009_ST14	ISP PARIS 10
GENSBURGER SARAH	2011_ST50	ISP, CNRS
GENSBURGER SARAH	2013_ST3	CNRS / ISP
GENSBURGER SARAH	2015_ST28	CNRS ISP
GENSBURGER SARAH	2015_ST8	ISP
GEOFFRAY MARIE LAURE	2011_ST48	FREI UNIVERSITAT, BERLIN
GEOFFRAY MARIE LAURE	2017_ST2	IHEAL PARIS 3
GEOFFREY JORIS	2009_ST45	SPIRAL, U. LIEGE (BELGIQUE)
GEORGAKAKIS DIDIER	2009_ST45	IEP STRASBOURG GSPE, INSTITUT UNIVERSITAIRE DE FRANCE
GEORGAKAKIS DIDIER	2015_ST42	U. PARIS 1
GEORGAKAKIS DIDIER	2017_ST18	U. PARIS 1
GEORGAKAKIS DIDIER	2017_ST19	U. PARIS 1 CESSP
GEORGIOU CHRISTAKIS	2015_ST15	CEPEL, MONTPELLIER
GERBAUD AUDE	2011_ST32	AUDE DONTENWILLE GERBAUD CEDITEC, EA 3119, U. PARIS EST CRETEIL
GERMAIN SEVERINE	2011_ST12	U. ROUEN
GERMIYANOGLU OKAN	2011_ST8	CERAPS, U. LILLE 2
GERMIYANOGLU OKAN	2017_ST63	CERAPS, U. LILLE 2
GERMIYANOGLU OKAN	2017_ST69	CERAPS, U. LILLE 2
GERSTLE JACQUES	2011_ST33	U. PARIS 1
GERSTLE JACQUES	2013_ST23	U. PARIS 1
GERVAIS JULIE	2009_ST45	LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (ROYAUME-UNI) / TRIANGLE
GERVAIS JULIE	2011_ST11	CESSP, U. PARIS 1
GERVAIS JULIE	2011_ST28	PARIS 1, CESSP
GERVAIS JULIE	2013_ST37	CESSP, U. PARIS 1 /
GERVAIS JULIE	2015_ST19	U PARIS 1, CESSP
GHILLEBAER CHRISTIAN PIERRE	2009_ST7	NA
GIANFALDONI PATRICK	2011_ST39	FREDERIC ROSTAING U. AVIGNON ET DES PAYS DE VAUCLUSE, LBNC
GIANNETTI DANIELA	2013_ST28	U. BOLOGNE
GIANONCELLI EVE	2015_ST12	PARIS 8
GIANONCELLI EVE	2017_ST3	U. PARIS 8, CRESPPA GTM
GIANONCELLI EVE	2017_ST56	U. PARIS 8 / CRESPPA GTM
GIBERT PATRICK	2011_ST17	U. PARIS 10
GIBRIL SUZAN	2017_ST60	FRS FNRS FELLOW, U. LIBRE BRUXELLES (BELGIQUE)
GIESEN KLAUS GERD	2011_ST5	NA
GILBERT CLAUDE	2009_ST14	PACTE/MSH ALPES GRENOBLE
GILBERT CLAUDE	2011_ST23	PACTE
GILBERT CLAUDE	2013_ST42	PACTE, IEP GRENOBLE
GIRARD CHARLES	2013_ST31	U. PARIS SORBONNE / RATIONALITES CONTEMPORAINES
GIRARD CHARLES	2015_ST24	U. LYON 3 JEAN MOULIN
GIRARD GUILLAUME	2009_ST37	CRPS, U. PARIS 1
GIRARD GUILLAUME	2009_ST6	PARIS 1 CRPS
GIRARD VIOLAINE	2011_ST13	U. ROUEN, GROUPE DE RECHERCHE INNOVATIONS ET SOCIETES GRIS
GIRAUD BAPTISTE	2009_ST8	CENTRE DE RECHERCHES POLITIQUES DE LA SORBONNE CRPS
GIRAUD BAPTISTE	2011_ST28	CESAER INRA DE DIJON
GIRAUD BAPTISTE	2013_ST30	U. AIX MARSEILLE, LEST
GIRAUD COLIN	2013_ST33	U. PARIS OUEST
GIRAUD ISABELLE	2013_ST46	INSTITUT DES ETUDES DE GENRE DE GENEVE
GIRAUD LAURA	2015_ST4	ET CHRISTINE PINA ERMES
GIRAUD MICHEL	2009_ST35	UAG, CRPLC
GIRAUD OLIVIER	2009_ST23	CMB, BERLIN
GIRAUD OLIVIER	2009_ST27	CMB CNRS, BERLIN
GIRAUD OLIVIER	2015_ST38	LISE / CNAM
GIRAULT ELOISE	2009_ST29	TRIANGLE ENS LSH IEP LYON
GIRAULT ELOISE	2011_ST25	IEP LYON TRIANGLE
GISQUET ELSA	2009_ST22	CSO SCIENCES PO PARIS
GIUSTOZZI ANTONIO	2011_ST6	NA
GLORIOZOVA EKATERINA	2017_ST60	CEVIPOL, U. LIBRE BRUXELLES (BELGIQUE)
GNANGUENON AMANDINE	2009_ST2	U. AUVERGNE
GOBILLE BORIS	2009_ST38	ENS LSH/TRIANGLE
GOBILLE BORIS	2009_ST44	TRIANGLE, U. LYON, ENS LSH
GOBILLE BORIS	2013_ST58	ENS LYON
GOBILLE BORIS	2015_ST47	TRIANGLE, ENS LYON
GODEFROY MAXIME	2015_ST51	CERAPS, U. LILLE 2
GODMER LAURENT	2011_ST40	EEP
GODMER LAURENT	2013_ST10	U. PARIS EST MARNE LA VALLEE/EEP
GODMER LAURENT	2013_ST58	U. PARIS EST MARNE LA VALLEE
GODMER LAURENT	2015_ST8	U. PARIS EST)
GOETA SAMUEL	2015_ST18	TELECOM PARIS TECH
GOETZE CATHERINE	2015_ST51	U. NOTTINGHAM
GOHENEIX ALICE	2013_ST14	NYU/SCIENCES PO PARIS
GOIRAND CAMILLE	2011_ST38	IEP LILLE / CERAPS, U. LILLE 2
GOKCE TUNCEL	2017_ST60	GOKCE TUNCEL EHESS, CEMS CENTRE DETUDE DES MOUVEMENTS SOCIAUX
GOLDMAN PAULINA	2015_STRC20IPSA	RIDER UNIVERSITY
GOLLAC SIBYLLE	2011_ST52	ENS / CMH ETT
GOLLAC SYBILLE	2015_ST17	CNRS CRESPPA CSU
GOLLAC SYBILLE	2017_ST8	NA
GOLUB PHILIP	2011_ST2	PHILIP S GOLUB AMERICAN U. PARIS
GOMBIN JOEL	2009_ST13	CURAPP, U. PICARDIE
GOMBIN JOEL	2009_ST5	CURAPP, U. PICARDIE
GOMBIN JOEL	2009_ST7	CURAPP, U. PICARDIE AMIENS
GOMBIN JOEL	2011_ST34	U. PICARDIE, UMR CURAPP ESS 6054 CNRS
GOMBIN JOEL	2013_ST27	U. PICARDIE
GOMBIN JOEL	2015_ST1	CURAPP ESS, U. PICARDIE
GOMBIN JOEL	2015_ST4	CURAPP ESS, U. PICARDIE
GOMBIN JOEL	2017_ST48	CURAPP ESS, U. PICARDIE
GOMBIN JOEL	2017_ST52	CURAPP ESS, U. PICARDIE
GOMEZ JORDI	2015_ST8	U. PARIS 2
GONCALVES CECILE	2017_ST56	EHESS / CESPRA
GONCALVEZ CECILE	2015_ST52	NA
GONTHIER FREDERIC	2013_ST7	PACTE IEP GRENOBLE
GONZALES VERONICA	2017_ST73	NA
GONZALEZ JOHANA	2015_ST52	NA
GONZALEZ JOHANA	2015_ST8	NA
GONZALEZ JOHANNA	2011_ST8	CED, IEP BORDEAUX
GONZALEZ JOHANNA	2013_ST51	NA
GONZALEZ PHILIPPE	2015_ST16	NA
